project_name,starting_date,completion_date,fund_acronym,theme_name,total_amount,eu_cofinancing_amount,project_description,beneficiary_nuts_region,beneficiary_name,beneficiary_address,beneficiary_postal_code,beneficiary_city,amount,amount_kind,approval_date,beneficiary_country,beneficiary_country_code,beneficiary_county,beneficiary_id,beneficiary_nuts_code,beneficiary_person,beneficiary_url,cci_program_code,currency,eu_cofinancing_amount_eligible,eu_cofinancing_rate,final_payment_date,first_payment_date,funding_period,management_authority,member_state_amount,operational_programme,priority_label,priority_number,project_status,source,theme_code,third_party_amount,total_amount_applied,total_amount_eligible
Destinationsudvikling Sønderjylland,2012-03-14,2014-12-31,ERDF,Innovation og videndeling,11234776.38,5523620.12,"Sønderjylland har ifølge analyser udført af Visitsyddanmark gode perspektiver og udviklingsmuligheder som en destination. En forudsætning for at kunne indfri dette potentiale er dog dannelsen af en DMO. De fire sønderjyske kommuner Haderslev, Sønderborg, Tønder og Aabenraa ønsker med ansøgningen til Destinationsudvikling Sønderjylland at igangsætte en proces, der skal lede hen til den endelige etablering af Destination Sønderjylland. Projektet er tænkt i to sideløbende forløb. Et DMO dannende forløb, der beskæftiger sig med det organisatoriske arbejde i forhold til dannelsen af en DMO samt et aktivitets forløb, der arbejder med at udpege og udvikle de fælles styrkepositioner, der ligger i det sønderjyske område. Derudover vil en stærk DMO på den danske side af grænsen være en væsentlig spiller i forhold til det fremtidige turismeudviklingssamarbejde hen over grænsen.",DANMARK,Sønderborg Erhvervs- og Turistcenter,Perlegade 9,6400,Sønderborg,742961.3052465568332146539365,eu_cofinancing_amount,,DANMARK,DK,,Erhvervs og sonderborg turistcenter,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
Fashion Accelerator,2008-05-15,2011-08-31,ERDF,Innovation og videndeling,11237780.75,5534077.91,"Dansk mode har et betydeligt vækstpotentiale, som udspringer af et større antal modevirksomheder med et markant kreativt potentiale og en modeuge, der er Nordeuropas største modebegivenhed for B2B markedet. Modebranchen betegnes som en national klynge og er Danmarks 4. største eksporterhverv, hvor eksporten trækkes af de få globale konfektionsvirksomheder. De mange mindre kreative modevirksomheder skal håndtere en stigende konkurrence og et mættet hjemmemarked. De står derfor over for en internationaliseringsfase. Fashion Accelerator understøtter nationale og regionale initiativer om Danmark som kreativ nation.Projektet tager udgangspunkt i virksomhedens parathed og ændrer med sin screening af modebranchens vækstvirksomheder fokus til efterspørgerens behov. De skræddersyede tilbud i en kritisk fase for virksomheden hjælper med at accelerere udviklingen og tilføre helt afgørende kompetencer og netværk.Modebranchen har begrænset netværks- og samarbejdsrelationer ligesom de ikke i tilstrækkeligt omfang har forretningsmæssige kompetencer. Formålet er at skabe et netværk, der som innovationsmiljø for danske modevirksomheder udvikler forretningskompetencer, viden om branding og design, giver adgang til viden om og indsigt i den internationale modebranche, og som kan få en mentor med international forretningserfaring i modebranchen tilknyttet den enkelte virksomhed. Netværksaktiviteterne gennemføres som Master Class med internationale oplægsholdere, som workshops med videnudveksling og idégenerering og som seminarer og korte temamøder med fokus på inspiration og konkret læring.Det innovative netværk Fashion Accelerator indeholder desuden et internationalt best practise forløb i Fashion Management på European School of Economics kombineret med review board, international salgstræning og international positionering. De erfaringer som projektets deltagere opnår anvendes sammen med uddannelsesinstitutionerne til at udvikle uddannelsesforløb i forretningsudvikling, Fashion Management og internationalisering, som implementeres på de eksisterende videregående uddannelser på alle niveauer.Det er projektets mål at min. 40 modevirksomheder deltager og min. 20 mentorer med betydelig international og forretningsmæssig kompetence tilknyttes virksomhederne. Den enkelte virksomhed får desuden tilknyttet en coach, fra Væksthus Hovedstadsregionen eller Væksthus Midtjylland, som løbende holder virksomheden fast på vækst og udvikling.",DANMARK,Væksthus Hovedstadsregionen,Gribskovvej 4,2100,København Ø,737732.5771181763405071632467,eu_cofinancing_amount,,DANMARK,DK,,Hovedstadsregionen vaeksthus,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
Projekt Strategisk Værtskab,2012-06-05,2015-04-30,ERDF,Innovation og videndeling,11267231.76,5494999.81,"Med Projektet forsøges kongresbearbejdning bragt ind på vidensinstitutioner/klyngers dagsorden, hvor indsatsen gøres til en kerneaktivitet i internationaliseringsbestræbelserne i Syddanmark. Her bliver det afgørende at skabe rammer for det innovative samspil mellem klynger, vidensinstitutioner, værtsbyer og aktører. Med Projektet vil vi: Skabe forretningen: Strategisk prioritering og øget opbakning til potentielle værter fra værternes egen organisation vil give mere dedikerede og mere ressourcestærke værter. Vinde forretningen: Innovativ og skræddersyet aktivering af oplevelser og services hele vejen rundt om arrangementet vil give mere konkurrencedygtige tilbud til internationale beslutningstagere. For at støtte op omkring det at skabe og vinde forretningen, vil Projektet gennemføre flg. aktiviteter: 1) Forankre Kongresstrategi: Prioritering og support af kongresindsats i viden- og klyngemiljøer. 2) Dyrke Byernes Værtskab: Bredere opbakning, tættere samspil og konceptudvikling ml. aktører. 3) Motivere Ambassadørkorps: Understøtte prioritering, ekspertise, videndeling og motivation. 4) Videreudvikle Supportfunktion: Service- og kommunikationsplatform samt support til kongresværter. Ultimativt er målet med projektet at vinde min. 5 konferencer p.a. med en forventet meromsætning på 9 mio. kr. p.a. Effekt: Øget omsætning - også i delbrancher; afledt effekt ift. global videndeling, promovering af Syddanmark som videns- og værtsdestination, kompetenceløft af aktører m.m.",DANMARK,Vejle Kommune,Banegårdspladsen 6,7100,Vejle,739499.6178045035914796270782,eu_cofinancing_amount,,DANMARK,DK,,Kommune vejle,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
Demens i hjemmet,2009-04-08,2013-06-30,ERDF,Innovation og videndeling,11279063.32,5617870.76,"Dette projekt har to overordnede mål. Det ene er at skabe nye produkter, der kan understøtte demente i eget hjem. Disse produkter vil indeholde et erhvervspotentiale, da der bliver tale om nye produkter der understøtter hidtil uerkendte behov. Dette vil have den sideeffekt, at brugerne får mulighed for at være med til at forbedre deres egne vilkår og opretholde livskvaliteten i eget hjem. Både pga. udsigterne til øget livskvalitet og værdighed og pga. det stærkt stigende antal demente er der et stort potentiale for danske virksomheder i at være de første til at komme med gode løsninger på dette område.Det andet formål er at afprøve og forfine selve den proces, det er, at bedrive brugerdreven innovation, for gennem praktisk afprøvning at blive bedre til at bedrive brugerdreven innovation.",DANMARK,Teknologisk Institut,Forskerparken 10,5230,Odense M,753024.1854782646654729028057,eu_cofinancing_amount,,DANMARK,DK,,Institut teknologisk,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
Attraktive Virksomheder,2008-10-01,2012-08-31,ESF,Udvikling af menneskelige ressourcer,11328923.68,4906417.41,"Projekt ""Attraktive Virksomheder"" består af 3 delprojekter: 1) Øget synliggørelse af erhvervslivets gevinster ved at ansætte højtuddannede og øget synliggørelse af sjællandske virksomheders attraktivitet for jobsøgende, 2) En videreudvikling af indsatsen for at assistere virksomhederne med ansættelse af højtuddannede og 3) En omfattende indsats for, at virksomhederne på Sjælland kan gøre sig mere attraktive overfor potentielt jobsøgende videnmedarbejdere.Alle 3 delprojekter er afgørende elementer i Vækstforum Sjællands valgte strategi om ""Videnoverførsel til Virksomhederne"", og det er vigtigt for synergieffekten, at de igangsættes samtidigt.Det er også vigtigt af hensyn til gennemslagskraften, at projektet strækker sig over lang tid. Der er stadig mange virksomheder, som ikke har opdaget de nationale tilbud som AkademikerKampagnen og Regionale Videnpiloter. Det tager tid.Projektet dækker geografisk hele Region Sjælland, og der er draget megen omsorg for at sætte ""Det Bedste Hold"" til opgaverne.Der nedsættes en styregruppe bestående af Akademikernes Centralorganisation (med Akademikerkampagnen og Kampagnebasen), Region Sjælland Kommunikation, Syddansk Universitet, KarriereCentret, RUC, Væksthus Sjælland, DI, Dansk Erhverv, Håndværksrådet og Erhvervs- og Videncenter Vestsjælland ¿ direktør Frits Mønsted.Styregruppens medlemmer leverer ikke ydelser og er ikke netværksdeltagere. Styregruppens rolle er alene at følge projektets fremdrift.Det samlede projektbudget er på ca. 9,8 mio. kr.",DANMARK,Den Erhvervsdrivende Fond Væksthus Sjælland,Marienbergvej 132,4760,Vordingborg,656645.5568142636029682157606,eu_cofinancing_amount,,DANMARK,DK,,Den erhvervsdrivende fond sjaelland vaeksthus,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
Etablering af regionalt Symbiosesekretariat,2010-12-01,2014-11-30,ERDF,Innovation og videndeling,11354865.56,5639403.01,"Kalundborg, Holbæk og Odsherred kommuner er gået sammen om at etablere et kommunalt drevet symbiosesekretariat, der skal styrke erhvervsudviklingen og tiltrække arbejdspladser til de 3 kommuner og regionen ved at bygge videre på Kalundborg Symbiosens unikke tilgang til miljømæssig og kommercielt bæredygtig genanvendelse af energi og restfraktioner. Den Industrielle Symbiose i Kalundborg er i dag et netværkssamarbejde mellem en række virksomheder og Kalundborg Kommune, hvor virksomhederne drager kommerciel nytte af hinandens restfraktioner eller sidestrømme, idet restproduktet fra en virksomhed er en ressource for en anden virksomhed i netværket. Muligheden for at udnytte Symbiosen, og princippet om genbrug af sidestrømme og restfraktioner, som et regionalt vækst- og beskæftigelseslokomotiv er blevet påpeget i en række analyser i de senere år og Symbiosen er - med rette - genstand for megen international opmærksomhed, hvor den er blevet et benchmark og pejlemærke for projekter, der søger at genanvende restfraktioner og sidestrømme i et kredsløb som det er tilfældet i Kalundborg.Etableringen af 2. generations bioethanolanlægget, Inbicon, i Kalundborg var blandt andet betinget af, at Symbiosen åbner mulighed for at sidestrømme kan modtages og afsættes i forbindelse med produktionen. Inbicon var også anledningen til, at Kalundborg Kommune i 2008 - med støtte fra Vækstforum Sjælland ¿ oprettede Cluster Biofuels Denmark (CBD), som sidenhen har iværksat projekter, hvor forskellige slags biomasse søges forædlet til 2. generations biobrændstoffer - se bilag 2.Erfaringerne fra CBD´s 2-årige virke som facilitator og fødselshjælper til projekter i tilknytning til Inbicon og Symbiosen har været med til at understrege, at der er betydelige virksomheds-, samfunds- og miljømæssige gevinster ved at skabe de bedst mulige rammevilkår for at: identificere nye restfraktioner og sidestrømme, der fremmer symbiosekonceptets anvendelse regionalt og lokalt udvide symbiosekonceptets geografiske udstrækning ved at gøre det attraktivt for virksomheder fra andre dele af regionen at benytte sig af principper og metoder bag Symbiosensynliggøre Symbiosekonceptet, idet det er selve symbiosetilgangen og de principper den hviler på, der er med til at afføde nye projekter og ikke nødvendigvis tilstedeværelsen af særlige produktionsmiljøer, eller erhvervsklyngerunderstøtte symbiosekonceptet ved at etablere en facilitator- og iværksætterfunktion, der kan identificere nye værdikæder, bære ideer videre, rejse funding og tage initiativer, der inspirer til at virksomheder og andre relevante aktører i regionen selv etablerer symbiose-samarbejder.På den baggrund er Kalundborg, Holbæk og Odsherred Kommune gået sammen om at etablere et symbiosesekretariat, der skal identificere nye restfraktioner og sidestrømme, udvide symbiosekonceptets geografiske udstrækning, synliggøre symbiosekonceptet potentiale i regionen og fungere som facilitator- og iværksætter med henblik på etablere flere symbioseinspirerede samarbejder til gavn for erhvervsudviklingen og miljøindsatsen i regionen. En vigtig opgave for symbiosesekretariatet bliver at indgå i sammenhænge, hvor de principper og metoder for recirkulation og genanvendelse, der ligger til grund for Symbiosen, profileres og synliggøres mere målrettet i omverden med henblik på at tiltrække såvel nationale som internationale samarbejdspartnere og kompetencer til regionen. Målet er at regionen udnytter sin nuværende styrkeposition og udvikler sig til Danmarks førende kompetencecenter inden for genanvendelsen af restfraktioner og symbiotiske platforme med udgangspunkt i konceptet bag den eksisterende Industrielle Symbiose.",DANMARK,Kalundborg Kommune,Holbækvej 141 B,4400,Kalundborg,758652.0882139409819931488710,eu_cofinancing_amount,,DANMARK,DK,,Kalundborg kommune,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
Oplevelsesledelse i Yderområder,2008-04-01,2012-08-31,ESF,Innovation og videndeling,11384034.92,5399956.42,"Med dette projekt ønsker Center for Regional og Turismeforskning (CRT) at bringe sin forskningsbaserede viden indenfor erhvervsudvikling i yderområder, turisme, fødevarer og oplevelse, samt sit netværk på universitetsniveau i anvendelse til at uddanne lokale og andre aktører på det private og offentlige arbejdsmarked. Gennem en forskningsmæssig forankring og sammenlagt med Bornholms særlige geografi og særlige erhvervsøkonomiske forudsætninger, vil Bornholm gennem dette projekt udvikle en platform til at være både leverandør og modtager af uddannelser på universitetsniveau. Projektets målsætning er at gøre Bornholm til vidensproducent til- og vidensmodtager fra danske og internationale universiteter. Forudsætningerne for dette er: ¿ At CRT er en associeret partner i Øresundsuniversitetet, og dermed har adgang til samtlige 12 universiteter i regionen. ¿ At der findes et marked for efter- og videreuddannelser, med udgangspunkt i yderområders særlige forudsætninger. ¿ At der allerede er udviklet et indhold og en samarbejdsstruktur mellem CRT, Roskilde Universitetscenter og Syddansk Universitet, der sigter mod at dække dette uddannelsesbehov. ¿ At Danvifo er en aktiv og væsentlig partner i projektet. ¿ At CRT lokalt udvikler i samarbejde med Bornholms Akademi, Danvifo, Bornholms Erhvervsskole. ¿ At der med succes har været gennemført og afprøvet et 1-årigt uddannelsesforløb på masterniveau for 25 bornholmske ledere og udviklere; ¿Innovationsledelse i Yderområder¿, 2007. ¿ At den afledte effekt af uddannelsen har været direkte målbar gennem projekter som: etablering af Serviceskolen, kompetenceudvikling i AOF-regi, virksomhedsstrategier, kulturprojekter, invitation fra Zentropa til udvikling af Bornholm som filmø og en række regional- og erhvervssamarbejder med Hong Kong/Kina formidlet via studierejse. ¿ At udvikling i IT- og bredbåndsteknologier nu tillader distanceundervisning i en hidtil ukendt kvalitet og med nye pædagogiske læringsformer. Projektets forventede resultat: I projektets 3½-årige periode skal der udvikles en model for hvordan universitets- og forskningsbaserede uddannelsesaktiviteter kan spille en rolle både nationalt og i forhold til Øresundsregionen. Endelig skal der, med et bornholmsk udgangspunkt, udvikles netbaseret uddannelse. Effekten af dette vil være, at de danske yderområder vil få tilbudt uddannelse på masterniveau, der tager udgangspunkt i regionernes særlige vilkår, samt at Bornholm og andre regioner sikres lettere adgang til videre- og efteruddannelse på universitetsniveau.",DANMARK,Center for Regional- og Turismeforskning,Stenbrudsvej 55,3730,Nexø,722115.9392684873144930834954,eu_cofinancing_amount,,DANMARK,DK,,Center for og regional turismeforskning,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
Sjællandske erhvervsskoler: flere og nye praktikpladser,2011-01-01,2014-09-30,ESF,Udvikling af menneskelige ressourcer,11528282.04,5764141.02,"I løbet af de kommende år vil de store årganges tilbagetrækning fra arbejdsmarkedetføre til en markant mangel på faglærte. Beskæftigelsesregion Hovedstaden og Sjælland vurderer, at Region Sjælland inden for det næste årti vil mangle op imod 30.000 faguddannede personer. Formålet med projektet er gennem et målrettet opsøgende arbejde at fremskaffe et markant større antal nye praktikpladser. Disse praktikpladser etableres i virksomheder, der har godkendelse fra de faglige udvalgt til at tage elever i praktik, men ikke - eller kun sporadisk - benytter disse godkendelser, samt i nyetablerede virksomheder. I region Sjælland er der på alle erhvervsuddannelsesområder ca. 8.800 godkendelser, men i enkelte brancher benyttes kun 20% af godkendelserne. Projektets aktiviteter vil primært rette sig mod virksomheder, der har godkendelser, men som ikke gør brug af disse. Med udgangspunkt i praktikpladsstatistikken vælges uddannelser, hvor virksomhederne med ubrugte tilladelser systematisk opsøges gennem en koordineret indsats med deltagelse af samtlige erhvervsskoler i Region Sjælland. En indsats, hvor der bliver udvekslet erfaringer omkring mulige tiltag, som viser sig brugbare inden for de forskellige brancher.Første kampagnerundeMed udgangspunkt i branchelister tilrettelægges en kampagnerunde. Ved kontakten til virksomhederne lægges der vægt på at identificere hvilke procedurer og serviceydelser, der er behov for at opnå etablering af flere praktikaftaler. Denne kontakt til virksomhederne forventes at skabe yderlig fokus på praktikpladsmulighederne og derigennem medvirke til at nogle af virksomhederne i støtte omfang ansætter lærlinge.Midtvejsevaluering og workshopEfter den første kampagnerunde afholdes en midtvejsevaluering, der vurderer resultaterne af de enkelte branchekampagner og identificerer behov for tilpasninger både med hensyn til informationsmaterialer og sikring af motivation og fastholdelse af virksomhederne som leverandører af praktikpladser. Anden kampagnerundeI henhold til midtvejsevalueringen konklusioner og anbefalinger rulles anden kampagnerunde ud til de sjællandske virksomheder.",DANMARK,"CELF, Center for Erhvervsrettede Uddannelse Lolland-Falster",Kringelborg Alle 7,4800,Nykøbing F,773346.8866995597115126420684,eu_cofinancing_amount,,DANMARK,DK,,Celf center erhvervsrettede falster for lolland uddannelse,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
"LUG: Læring Uden Grænser - nye koblinger mellem velfærdsuddannelser, virksomheder, borgere og myndigheder i Region Sjælland",2013-09-01,2015-03-31,ERDF,Innovation og videndeling,11636769.67,5528012.53,"LUG projektet er et Quadruple Helix projekt med vidensinstitutioner (UCSJ / leadpartner og RUC), virksomheder, brugerorganisationer og borgere i Region Sjælland. Formålet er udvikling og formidling af ny viden om, hvordan digitale teknologier og nye koblinger i form af netværk- og institutionssamarbejde kan mindske grænser for læring i Region. Der indgår fire delprojekter:Delprojekt A vil forske i og udvikle en regionalt orienteret MOOC, som udbyder gratis efter- og videreuddannelse målrettet medarbejdere ansat i virksomheder med fokus på velfærdsydelser i Regionen. Delprojekt B vil forske i, udvikle og formidle viden om, hvordan synkrone læringsmiljøer inden for forskellige teknologi- og kompetencefelter kan anvendes til gavn for uddannelsesinstitutioner, myndigheder og borgere i Regionen.Delprojekt C vil undersøge, hvordan de professionelles forståelser af brugernes behov er et grundlæggende element i forhold til at skabe innovation. Projektet vil undersøge brugerinddragende interaktionsprocesser, og hvordan disse kan implementeres og udvikles i organisationer. Delprojekt D vil forske i og udvikle nye veje til at styrke kvalitet omfattende såvel den sundhedsfaglige kvalitet, patientinvolvering, patienttilfredshed som en effektiv ressourceudnyttelse i forløb for de voksende grupper af kroniske og såkaldte komplekse patienter. Delprojektet har fokus på nytænkning af læring og innovation på tværs af grænser mellem aktører og de forskellige dele af sundhedssystemet.",DANMARK,University College Sjælland,Slagelsevej 7,4180,Sorø,741125.7739768602898508789711,eu_cofinancing_amount,,DANMARK,DK,,College sjaelland university,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
Lab. X,2012-09-03,2015-03-31,ERDF,Innovation og videndeling,11663148.92,5341635.48,"Projektet har til formål1. At udvikle og styrke effekten af living labs. som eksperimentarium for Nordjysk erhvervsudvikling på sundheds- og velfærdsområderne gennem aktivt samarbejdende netværk og partnerskaber på tværs af regionens institutioner, kommuner, virksomheder og uddannelses-/videninstitutioner.2. At markedsmodne produkter og initiativer ved at facilitere udvikling og vækst gennem systematisk etablerede innovationssamarbejder mellem offentlige serviceudbydere indenfor sundheds- og velfærdsområdet, private virksomheder og brugere.3. At komme fra brugerbehov til implementering af løsninger i praksis gennem udvikling og afprøvning af konkrete modeller for nye og mere brugerinddragende måder at levere sundheds- og velfærdsinnovation på.Projektet retter sig mod at kombinere og optimere 4 ¿bundlinjer¿ 1) Erhvervsøkonomisk vækst gennem tættere samarbejde mellem borgere, offentlige institutioner og virksomheder i udvikling, tilpasning og produktion af relevant sundheds- og velfærdsteknologi 2) Offentlige omkostninger 3) Borgernes oplevelse af kvalitet i velfærdsydelserne 4) Videnopbygning.Mindst fire kommuner, 15 private virksomheder og tre uddannelses- og vidensinstitutioner deltager i projektet.",DANMARK,University College Nordjylland,Selma Lagerløfs Vej 2,9220,Aalborg Øst,717008.9695849239739671265870,eu_cofinancing_amount,,DANMARK,DK,,College nordjylland university,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
Udvikling af den nordjyske vindmølleindustri,2010-10-04,2014-12-31,ESF,Innovation og videndeling,11751894.87,5834158.09,"Vindmølleindustrien er, som en væsentlig del af den grønne vækst, af stor betydning for erhvervsudviklingen i Nordjylland. Mange af fremtidens arbejdspladser vil blive genereret inden for denne industri - det lige fra værdikædens yderste led omkring visualisering/planlægning af møller via produktion og logistik til opstilling og servicering af vindmøllerne. For at dokumentere denne opfattelse har Aalborg Erhvervsafdeling gennem et mindre projekt, medfinansieret af Vækstforum Nordjylland, undersøgt hvor mange virksomheder i regionen, der er leverandører til vindmølleproducenterne, og hvilke erhvervsmæssige perspektiver virksomhederne ser i samspillet mellem virksomhederne, vidensinstitutionerne og øvrige interessenter. Der blev i den forbindelse udarbejdet og synliggjort en værdikæde, der omfatter ca. 80 virksomheder, lige fra enkeltmandsvirksomheder til virksomheder med op til 1000 ansatte. Desuden indgår vidensinstitutioner, uddannelsesinstitutioner, m.fl., og der kommer hele tiden nye interessenter til. Der synes således at være grundlag for en ikke ubetydelig udviklingsindsats. Som resultat heraf blev der etableret et erhvervsnetværk - Hub North - der vil blive videreudviklet i det foreliggende projekt. Nordjylland har en lang række kompetencer inden for vindenergi, og disse kan udvikles til gavn for ikke alene virksomhederne - men også for regionen som helhed. Det vil dog kræve, at virksomhedernes og videninstitutionernes kompetencer og viden koordineres og videreudvikles på dette område. Hvilket også var et klart ønske fra de ca. 70 deltagere på konferencen for vindmølleindustrien i Nordjylland, der blev afholdt i juni måned 2010. Det vil være dette projekts opgave via Hub North at synliggøre, forene, udvikle og styrke vindmøllebranchen i den nordjyske region. Derved skabes en synlig effekt hos interessenterne - såvel beskæftigelsesmæssigt , indtjeningsmæssigt som forskningsmæssigt. Projektet har som følge heraf opstillet en række mål, der forventes opfyldt ved projektets afslutning: . etablering af et permanent og forpligtende erhvervsnetværk inden for hvis rammer, der skabes grundlag for en løbende netværket består efter projektets afslutning. . via erhvervsnetværkets initiativer omkring samarbejde, innovation og kompetenceudvikling styrkes forudsætningerne for vækst inden for vindmøllesegmentet hos den samlede værdikædes virksomheder,at skabe en beskæftigelsesmæssig effekt omfattende hele spektret af medarbejdere - lige fra produktionsmedarbejdere til udviklingsingeniører hos den samlede værdikædes virksomheder, . via erhvervsnetværket og de mange aktiviteter at styrke vindmølleindustrien samt forskningen på Aalborg Universitet for derigennem at skabe grundlaget for at gøre vindenergi til et nordjysk fyrtårn erhvervsmæssigt og vidensmæssigt, . at projektet overordnet har som målsætning at få skabt grundlaget for etableringen af et videnscenter for vindenergi i Nordjylland. Indfrielsen af disse mål søges tilvejebragt via de initativer, som bliver mere detaljeret beskrevet i de følgende afsnit, men som kort omfatter følgende: . etablering af en projektledelse/administration til facilitering af såvel erhvervsnetværket, værdikæden, partnerne, ledelse samt kommunikationsmæssige opgaver, . netværksaktiviteter til styrkelse af viden og kompetencer hos værdikædens/erhvervsnetværkets virksomheder, . kompetenceafdækning, vidensudvikling og videngenerering hos værdikædens og erhvervsnetværkets virksomheder, . synliggørelse/markedsføring af de nordjyske kompetencer og viden på vindenergiområdet. Alt i alt et samlet tiltag, der gennem projektets løbetid på 3 år skal synliggøre, forene, udvikle og styrke vindmøllebranchen i den nordjyske region samt skabe grundlaget for en international dimension hos den nordjyske vindmølleindustri og derigennem være med til at etablere nogle af fremtidens arbejdspladser.",DANMARK,Aalborg Kommune,Boulevarden 13,9000,Aalborg,784475.1062234777378590808161,eu_cofinancing_amount,,DANMARK,DK,,Aalborg kommune,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
Videns- og Teknologicenter for Vindmølledrift,2008-05-01,2013-05-01,ERDF,Innovation og videndeling,11782879.04,5891439.52,"Videns- og teknologicenteret skal være et center, hvor der skal udføres forskning og kritiske undersøgelse med det formål at erhverve ny viden, som sikrer en forsat udvikling af værdikæden for vindmøllers driftsikkerhed og servicetilgængelighed. Videns- og teknologicenteret er en privat forskningsinstitution under opbygning, hvor godt 75 % af centerets budget bruges på videnskabeligt personale og kompetencer. Centerets primære formål er at bedrive industriel forskning indenfor området vindmølledrift. I Videns- og teknologicenteret indgår erhvervs ph.d¿er og forskere, der vil tillige blive tilknyttet studerende, som vil kunne gennemføre praktikforløb i Videns- og teknologicenteret. Dette vil alt i alt give Videns- og teknologicenteret den nødvendige profil som privat forskningsinstitution. Videns- og teknologicenteret har sikret sig adgang til mere end 100 vindmøller på Lolland samt den kommende testplads for havvindmøller ved Kappel. Dette sikre at målinger, kritiske undersøgelser og forskning kan foregå i fuld skala.Videns- og teknologicenteret er en forlængelse af den øvrige forskning og udvikling, der finder sted i branchen og på forskningsinstitutioner. Videns- og teknologicenteret er stedet, hvor forskning og udviklingsprojekter foregår i fuld skala under de reale metrologiske forhold, hvor nye produkter og tjenesteydelser skal stå deres prøve med virkeligheden og elementerne og hvor den selv samme virkelighed skal observeres og måles. Data herfra indgår i forskning med henblik på erhvervelse af ny viden, som kan danne grundlag for nye udviklingsretninger for branchen. I Videns- og teknologicenteret er det overordnede fokus på værdikæden for vindmølledrift i et systemperspektiv, derfor vil vi prioritere forsknings- og udviklingscases, som forventes at have størst betydning til sikring af vindmøllernes stabilitet og forlængelse af levetiden.",DANMARK,International Wind Academy Lolland A/S,Rudbjergvej 21,4983,Dannemare,785371.4621855534742178717167,eu_cofinancing_amount,,DANMARK,DK,,A academy international lolland s wind,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
CISS ConneCT,2008-11-10,2012-10-31,ERDF,Anvendelse af ny teknologi,11859851,5929925.5,"Projektet har til formål at udvikle regionale virksomheders kompetencer inden for Intelligente Indlejrede Systemer (IIS) med henblik på styrket konkurrenceevne og øget andel af det globale IIS marked herunder hjemtagning af nationale og EU projektmidler. Dette vil ske gennem udvikling af demonstratorer (prototyper på indlejrede produkter), vidensspredning og matchmaking med afsæt i efterspørgslen hos regionens virksomheder, herunder ønsket om synliggørelse af nationale og Europæiske initiativer og med inddragelse af relevante nationale og internationale virksomheder og forskningsinstitutioner. Demonstratorerne har to hovedformål: Dels skal de synliggøre mulighederne for at tilføre fremtidige produkter merværdi gennem inddragelse af intelligente indlejrede løsninger, dels skal selve processen omkring udvælgelse og realisering af demonstratorerne ske i dialog med grupper af virksomheder via scenarieworkshops og dermed initiere overvejelser om behov og muligheder vedr. fremtidige produkter og samarbejdsprojekter. Parallelt med demonstratorudviklingen vil den seneste udvikling indenfor IIS blive formidlet gennem præsentation af resultater fra nationale og internationale samarbejder med inddragelse af relevante samarbejdspartnere. Til at støtte op omkring denne vidensspredning og den videre realisering af identificerede samarbejdsprojekter, vil der i løbet af projektets første halvdel blive etableret et nationalt innovationsnetværk (DiNES) for IIS finansieret af RTI og koordineret af CISS. Det forventes at samarbejdet omkring demonstratorer, den tilhørende vidensspredning og matchmaking, samt etableringen af DiNES, dels vil føre til forbedret konkurrenceevne hos de involverede virksomheder, dels vil aflede et antal konkrete samarbejdsprojekter mellem CISS og en eller flere virksomheder og vidensinstitutioner, samt skabe det nødvendige grundlag for at virksomhederne får opbygget kompetencer og netværk til at kunne indgå i internationale samarbejdsprojekter.",DANMARK,Aalborg Universitet,Selma Lagerløfs Vej 300,9220,Aalborg Øst,792115.2488057097873648537689,eu_cofinancing_amount,,DANMARK,DK,,Aalborg universitet,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
