Gruppierung Bezeichnung;Produktbereich;Produktbereich Bezeichnung;Produktgruppe;Produktgruppe Bezeichnung;Haushaltsjahr;Ertrag / Aufwand; €
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;15;Bauaufsicht und Denkmalschutz;15.02;Denkmalschutz und -pflege;2018;A;205000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;15;Bauaufsicht und Denkmalschutz;15.02;Denkmalschutz und -pflege;2019;A;205000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;15;Bauaufsicht und Denkmalschutz;15.02;Denkmalschutz und -pflege;2020;A;205000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;16;Nahverkehr und ÖPNV;16.02;Verwendung Stellplatzablöse;2015;A;0,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;16;Nahverkehr und ÖPNV;16.02;Verwendung Stellplatzablöse;2016;A;100000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;16;Nahverkehr und ÖPNV;16.02;Verwendung Stellplatzablöse;2017;A;100000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;16;Nahverkehr und ÖPNV;16.02;Verwendung Stellplatzablöse;2018;A;100000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;16;Nahverkehr und ÖPNV;16.02;Verwendung Stellplatzablöse;2019;A;100000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;16;Nahverkehr und ÖPNV;16.02;Verwendung Stellplatzablöse;2020;A;100000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;16;Nahverkehr und ÖPNV;16.03;Verkehrsanlagen;2015;A;1194755,40
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;16;Nahverkehr und ÖPNV;16.03;Verkehrsanlagen;2016;A;1127000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;16;Nahverkehr und ÖPNV;16.03;Verkehrsanlagen;2017;A;1127000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;16;Nahverkehr und ÖPNV;16.03;Verkehrsanlagen;2018;A;1127000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;16;Nahverkehr und ÖPNV;16.03;Verkehrsanlagen;2019;A;1127000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;16;Nahverkehr und ÖPNV;16.03;Verkehrsanlagen;2020;A;1127000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;16;Nahverkehr und ÖPNV;16.09;traffiQ (Operativer Bereich);2015;A;9086698,68
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;16;Nahverkehr und ÖPNV;16.09;traffiQ (Operativer Bereich);2016;A;10319000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;16;Nahverkehr und ÖPNV;16.09;traffiQ (Operativer Bereich);2017;A;10363000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;16;Nahverkehr und ÖPNV;16.09;traffiQ (Operativer Bereich);2018;A;10414000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;16;Nahverkehr und ÖPNV;16.09;traffiQ (Operativer Bereich);2019;A;10414000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;16;Nahverkehr und ÖPNV;16.09;traffiQ (Operativer Bereich);2020;A;10414000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;16;Nahverkehr und ÖPNV;16.10;traffiQ (Treuhandbereich);2015;A;25702623,38
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;16;Nahverkehr und ÖPNV;16.10;traffiQ (Treuhandbereich);2016;A;26622000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;16;Nahverkehr und ÖPNV;16.10;traffiQ (Treuhandbereich);2017;A;29537000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;16;Nahverkehr und ÖPNV;16.10;traffiQ (Treuhandbereich);2018;A;32538000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;16;Nahverkehr und ÖPNV;16.10;traffiQ (Treuhandbereich);2019;A;32538000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;16;Nahverkehr und ÖPNV;16.10;traffiQ (Treuhandbereich);2020;A;34421000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;17;Wohnen;17.01;Wohnen;2015;A;172481,27
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;17;Wohnen;17.01;Wohnen;2016;A;143000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;17;Wohnen;17.01;Wohnen;2017;A;143000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;17;Wohnen;17.01;Wohnen;2018;A;143000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;17;Wohnen;17.01;Wohnen;2019;A;143000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;17;Wohnen;17.01;Wohnen;2020;A;143000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;18;Soziales;18.01;Leistungen des Jugend- und Sozialamtes;2015;A;81944257,87
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;18;Soziales;18.01;Leistungen des Jugend- und Sozialamtes;2016;A;84798000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;18;Soziales;18.01;Leistungen des Jugend- und Sozialamtes;2017;A;92918000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;18;Soziales;18.01;Leistungen des Jugend- und Sozialamtes;2018;A;91782000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;18;Soziales;18.01;Leistungen des Jugend- und Sozialamtes;2019;A;91781000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;18;Soziales;18.01;Leistungen des Jugend- und Sozialamtes;2020;A;91293000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;19;Gesundheit;19.01;Infektiologie;2016;A;
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;19;Gesundheit;19.02;Medizinische Dienste und Hygiene;2015;A;625881,25
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;19;Gesundheit;19.02;Medizinische Dienste und Hygiene;2016;A;635000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;19;Gesundheit;19.02;Medizinische Dienste und Hygiene;2017;A;895000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;19;Gesundheit;19.02;Medizinische Dienste und Hygiene;2018;A;895000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;19;Gesundheit;19.02;Medizinische Dienste und Hygiene;2019;A;895000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;19;Gesundheit;19.02;Medizinische Dienste und Hygiene;2020;A;895000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;19;Gesundheit;19.03;Kinder- und Jugendmedizin;2015;A;397615,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;19;Gesundheit;19.03;Kinder- und Jugendmedizin;2016;A;481000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;19;Gesundheit;19.03;Kinder- und Jugendmedizin;2017;A;494000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;19;Gesundheit;19.03;Kinder- und Jugendmedizin;2018;A;494000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;19;Gesundheit;19.03;Kinder- und Jugendmedizin;2019;A;494000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;19;Gesundheit;19.03;Kinder- und Jugendmedizin;2020;A;494000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;19;Gesundheit;19.04;Psychiatrie;2015;A;1394889,63
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;19;Gesundheit;19.04;Psychiatrie;2016;A;1450000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;19;Gesundheit;19.04;Psychiatrie;2017;A;1450000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;19;Gesundheit;19.04;Psychiatrie;2018;A;1450000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;19;Gesundheit;19.04;Psychiatrie;2019;A;1450000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;19;Gesundheit;19.04;Psychiatrie;2020;A;1450000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;19;Gesundheit;19.05;Drogen-, Sucht- und Präventionsthemen;2015;A;8614408,05
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;19;Gesundheit;19.05;Drogen-, Sucht- und Präventionsthemen;2016;A;8439000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;19;Gesundheit;19.05;Drogen-, Sucht- und Präventionsthemen;2017;A;9864000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;19;Gesundheit;19.05;Drogen-, Sucht- und Präventionsthemen;2018;A;9799000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;19;Gesundheit;19.05;Drogen-, Sucht- und Präventionsthemen;2019;A;9799000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;19;Gesundheit;19.05;Drogen-, Sucht- und Präventionsthemen;2020;A;9799000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;19;Gesundheit;19.06;Städt. Kliniken Frankfurt a.M.-Höchst;2015;A;11086206,26
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;19;Gesundheit;19.06;Städt. Kliniken Frankfurt a.M.-Höchst;2016;A;36066000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;19;Gesundheit;19.06;Städt. Kliniken Frankfurt a.M.-Höchst;2017;A;0,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;19;Gesundheit;19.06;Städt. Kliniken Frankfurt a.M.-Höchst;2018;A;0,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;19;Gesundheit;19.06;Städt. Kliniken Frankfurt a.M.-Höchst;2019;A;5000000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;19;Gesundheit;19.06;Städt. Kliniken Frankfurt a.M.-Höchst;2020;A;3000000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;20;Bildung;20.01;Schulbetriebsmanagement/pädag. Aufgaben;2015;A;43112834,26
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;20;Bildung;20.01;Schulbetriebsmanagement/pädag. Aufgaben;2016;A;46963000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;20;Bildung;20.01;Schulbetriebsmanagement/pädag. Aufgaben;2017;A;54469000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;20;Bildung;20.01;Schulbetriebsmanagement/pädag. Aufgaben;2018;A;62489000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;20;Bildung;20.01;Schulbetriebsmanagement/pädag. Aufgaben;2019;A;67668000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;20;Bildung;20.01;Schulbetriebsmanagement/pädag. Aufgaben;2020;A;72843000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;20;Bildung;20.02;Betrieb städtischer Kitas;2015;A;105100000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;20;Bildung;20.02;Betrieb städtischer Kitas;2016;A;119662000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;20;Bildung;20.02;Betrieb städtischer Kitas;2017;A;133291000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;20;Bildung;20.02;Betrieb städtischer Kitas;2018;A;137480000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;20;Bildung;20.02;Betrieb städtischer Kitas;2019;A;139364000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;20;Bildung;20.02;Betrieb städtischer Kitas;2020;A;141092000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;20;Bildung;20.03;Trägerübergreifende Kita-Aufgaben, Tagespflege;2015;A;248171396,91
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;20;Bildung;20.03;Trägerübergreifende Kita-Aufgaben, Tagespflege;2016;A;285999000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;20;Bildung;20.03;Trägerübergreifende Kita-Aufgaben, Tagespflege;2017;A;314440000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;20;Bildung;20.03;Trägerübergreifende Kita-Aufgaben, Tagespflege;2018;A;336831000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;20;Bildung;20.03;Trägerübergreifende Kita-Aufgaben, Tagespflege;2019;A;352381000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;20;Bildung;20.03;Trägerübergreifende Kita-Aufgaben, Tagespflege;2020;A;365424000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;20;Bildung;20.04;Jugend- und Erwachsenenbildung, Kinderbüro;2015;A;12680735,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;20;Bildung;20.04;Jugend- und Erwachsenenbildung, Kinderbüro;2016;A;13758000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;20;Bildung;20.04;Jugend- und Erwachsenenbildung, Kinderbüro;2017;A;16605000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;20;Bildung;20.04;Jugend- und Erwachsenenbildung, Kinderbüro;2018;A;16548000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;20;Bildung;20.04;Jugend- und Erwachsenenbildung, Kinderbüro;2019;A;16624000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;20;Bildung;20.04;Jugend- und Erwachsenenbildung, Kinderbüro;2020;A;16806000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;20;Bildung;20.13;Frankfurter Kinderbüro;2015;A;47019,44
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;21;Kultur, Freizeit und Sport;21.01;Kulturelle Dienstleistungen und Projekte;2015;A;48552413,47
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;21;Kultur, Freizeit und Sport;21.01;Kulturelle Dienstleistungen und Projekte;2016;A;48912000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;21;Kultur, Freizeit und Sport;21.01;Kulturelle Dienstleistungen und Projekte;2017;A;52770000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;21;Kultur, Freizeit und Sport;21.01;Kulturelle Dienstleistungen und Projekte;2018;A;52170000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;21;Kultur, Freizeit und Sport;21.01;Kulturelle Dienstleistungen und Projekte;2019;A;50670000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;21;Kultur, Freizeit und Sport;21.01;Kulturelle Dienstleistungen und Projekte;2020;A;50670000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;21;Kultur, Freizeit und Sport;21.05;Zoologischer Garten Frankfurt;2015;A;2230,12
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;21;Kultur, Freizeit und Sport;21.12;Städtische Bühnen;2015;A;68178000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;21;Kultur, Freizeit und Sport;21.12;Städtische Bühnen;2016;A;69696000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;21;Kultur, Freizeit und Sport;21.12;Städtische Bühnen;2017;A;75038000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;21;Kultur, Freizeit und Sport;21.12;Städtische Bühnen;2018;A;75502000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;21;Kultur, Freizeit und Sport;21.12;Städtische Bühnen;2019;A;75502000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;21;Kultur, Freizeit und Sport;21.12;Städtische Bühnen;2020;A;75502000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;21;Kultur, Freizeit und Sport;21.15;Sportstätten und Sportstättenvergabe;2015;A;1517000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;21;Kultur, Freizeit und Sport;21.15;Sportstätten und Sportstättenvergabe;2016;A;1517000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;21;Kultur, Freizeit und Sport;21.15;Sportstätten und Sportstättenvergabe;2017;A;1517000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;21;Kultur, Freizeit und Sport;21.15;Sportstätten und Sportstättenvergabe;2018;A;1517000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;21;Kultur, Freizeit und Sport;21.15;Sportstätten und Sportstättenvergabe;2019;A;1517000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;21;Kultur, Freizeit und Sport;21.15;Sportstätten und Sportstättenvergabe;2020;A;1517000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;21;Kultur, Freizeit und Sport;21.16;Sportförderung;2015;A;14483045,08
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;21;Kultur, Freizeit und Sport;21.16;Sportförderung;2016;A;13245000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;21;Kultur, Freizeit und Sport;21.16;Sportförderung;2017;A;14484000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;21;Kultur, Freizeit und Sport;21.16;Sportförderung;2018;A;14484000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;21;Kultur, Freizeit und Sport;21.16;Sportförderung;2019;A;14484000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;21;Kultur, Freizeit und Sport;21.16;Sportförderung;2020;A;14484000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;22;Umwelt;22.01;Umweltplanung und Umweltservice;2015;A;262616,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;22;Umwelt;22.01;Umweltplanung und Umweltservice;2016;A;259000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;22;Umwelt;22.01;Umweltplanung und Umweltservice;2017;A;259000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;22;Umwelt;22.01;Umweltplanung und Umweltservice;2018;A;259000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;22;Umwelt;22.01;Umweltplanung und Umweltservice;2019;A;259000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;22;Umwelt;22.01;Umweltplanung und Umweltservice;2020;A;259000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;22;Umwelt;22.03;Anlagen der Abfallwirtschaft;2015;A;1004812,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;22;Umwelt;22.03;Anlagen der Abfallwirtschaft;2016;A;1080000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;22;Umwelt;22.03;Anlagen der Abfallwirtschaft;2017;A;1080000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;22;Umwelt;22.03;Anlagen der Abfallwirtschaft;2018;A;1080000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;22;Umwelt;22.03;Anlagen der Abfallwirtschaft;2019;A;1080000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;22;Umwelt;22.03;Anlagen der Abfallwirtschaft;2020;A;1080000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;22;Umwelt;22.04;Energie und Klimaschutz;2015;A;228780,06
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;22;Umwelt;22.04;Energie und Klimaschutz;2016;A;
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;22;Umwelt;22.07;StadtForst;2015;A;2000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;22;Umwelt;22.07;StadtForst;2016;A;2000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;22;Umwelt;22.07;StadtForst;2017;A;2000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;22;Umwelt;22.07;StadtForst;2018;A;2000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;22;Umwelt;22.07;StadtForst;2019;A;2000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;22;Umwelt;22.07;StadtForst;2020;A;2000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;22;Umwelt;22.09;Grün- und Freiflächen;2015;A;283666,34
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;22;Umwelt;22.09;Grün- und Freiflächen;2016;A;239000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;22;Umwelt;22.09;Grün- und Freiflächen;2017;A;339000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;22;Umwelt;22.09;Grün- und Freiflächen;2018;A;339000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;22;Umwelt;22.09;Grün- und Freiflächen;2019;A;339000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;22;Umwelt;22.09;Grün- und Freiflächen;2020;A;339000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;30;Amt OB, Betreuung der Gremien;30.01;Leitung der Stadtverwaltung;2015;A;499273,25
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;30;Amt OB, Betreuung der Gremien;30.01;Leitung der Stadtverwaltung;2016;A;449000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;30;Amt OB, Betreuung der Gremien;30.04;Stadtmarketing;2017;A;730000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;30;Amt OB, Betreuung der Gremien;30.04;Stadtmarketing;2018;A;730000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;30;Amt OB, Betreuung der Gremien;30.04;Stadtmarketing;2019;A;730000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;30;Amt OB, Betreuung der Gremien;30.04;Stadtmarketing;2020;A;730000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;31;Finanzen;31.01;Steuerungsunterstützung und Controlling;2015;A;32000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;31;Finanzen;31.01;Steuerungsunterstützung und Controlling;2016;A;0,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;31;Finanzen;31.01;Steuerungsunterstützung und Controlling;2017;A;0,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;31;Finanzen;31.01;Steuerungsunterstützung und Controlling;2018;A;0,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;31;Finanzen;31.01;Steuerungsunterstützung und Controlling;2019;A;0,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;31;Finanzen;31.01;Steuerungsunterstützung und Controlling;2020;A;0,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;31;Finanzen;31.08;Abwicklung von Grundstücksgeschäften;2015;A;121159,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;32;Personal und Organisation;32.01;Personalservice und -controlling;2015;A;0,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;32;Personal und Organisation;32.01;Personalservice und -controlling;2016;A;0,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;32;Personal und Organisation;32.02;Personalentwicklung;2015;A;-34939,26
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;32;Personal und Organisation;32.02;Personalentwicklung;2016;A;-26000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;32;Personal und Organisation;32.02;Personalentwicklung;2017;A;-26000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;32;Personal und Organisation;32.02;Personalentwicklung;2018;A;-26000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;32;Personal und Organisation;32.02;Personalentwicklung;2019;A;-26000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;32;Personal und Organisation;32.02;Personalentwicklung;2020;A;-26000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;32;Personal und Organisation;32.06;Zentrale Personalangelegenheiten;2015;A;15942,60
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;32;Personal und Organisation;32.06;Zentrale Personalangelegenheiten;2016;A;16000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;32;Personal und Organisation;32.06;Zentrale Personalangelegenheiten;2017;A;16000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;32;Personal und Organisation;32.06;Zentrale Personalangelegenheiten;2018;A;16000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;32;Personal und Organisation;32.06;Zentrale Personalangelegenheiten;2019;A;16000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;32;Personal und Organisation;32.06;Zentrale Personalangelegenheiten;2020;A;16000,00
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;34;Grundstücks- und Gebäudemanagement;34.01;Grundstücks- und Gebäudebewirtschaftung;2015;A;226,89
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;34;Grundstücks- und Gebäudemanagement;34.04;Grundstücks- und Gebäudemanagement;2015;A;48675,00
